"","id","var","highest","ensemble_df","cell_percentage"
"LINC01946","LINC01946",2.04124145231932,"DP","ENSG00000223647",0.0267881060809001
"AL356218.1","AL356218.1",2.04124145231932,"DP","ENSG00000223678",0.0267881060809001
"LGALS8-AS1","LGALS8-AS1",2.04124145231932,"DP","ENSG00000223776",0.0267881060809001
"LINC00691","LINC00691",2.04124145231932,"DP","ENSG00000224074",0.0535762121618002
"LINC01935","LINC01935",2.04124145231932,"DP","ENSG00000224095",0.0267881060809001
"AC112715.1","AC112715.1",2.04124145231932,"DP","ENSG00000224132",0.0267881060809001
"AC234781.1","AC234781.1",2.04124145231932,"DP","ENSG00000224216",0.0803643182427002
"PINCR","PINCR",2.04124145231932,"DP","ENSG00000224294",0.0267881060809001
"AL356966.1","AL356966.1",2.04124145231932,"DP","ENSG00000224356",0.0267881060809001
"AL139246.1","AL139246.1",2.04124145231932,"DP","ENSG00000224387",0.0267881060809001
"LINC01280","LINC01280",2.04124145231932,"DP","ENSG00000224391",0.0267881060809001
"LPP-AS1","LPP-AS1",2.04124145231932,"DP","ENSG00000224563",0.0267881060809001
"LINC01754","LINC01754",2.04124145231932,"DP","ENSG00000224565",0.0267881060809001
"LINC01886","LINC01886",2.04124145231932,"DP","ENSG00000224568",0.0267881060809001
"AC025165.1","AC025165.1",2.04124145231932,"DP","ENSG00000224713",0.0267881060809001
"AL355482.1","AL355482.1",2.04124145231932,"DP","ENSG00000224810",0.0267881060809001
"AL589678.1","AL589678.1",2.04124145231932,"DP","ENSG00000224935",0.0267881060809001
"LINC00184","LINC00184",2.04124145231932,"DP","ENSG00000224939",0.0267881060809001
"CASC6","CASC6",2.04124145231932,"DP","ENSG00000224944",0.0267881060809001
"AC010082.1","AC010082.1",2.04124145231932,"DP","ENSG00000225000",0.0803643182427002
"AL662890.1","AL662890.1",2.04124145231932,"DP","ENSG00000225173",0.0267881060809001
"AC018693.1","AC018693.1",2.04124145231932,"DP","ENSG00000225284",0.0267881060809001
"AL591178.1","AL591178.1",2.04124145231932,"DP","ENSG00000225315",0.0267881060809001
"LINC00350","LINC00350",2.04124145231932,"DP","ENSG00000225316",0.0535762121618002
"LINC00489","LINC00489",2.04124145231932,"DP","ENSG00000225759",0.0267881060809001
"LINC02648","LINC02648",2.04124145231932,"DP","ENSG00000225948",0.0267881060809001
"UBXN10-AS1","UBXN10-AS1",2.04124145231932,"DP","ENSG00000225986",0.0267881060809001
"AP000561.1","AP000561.1",2.04124145231932,"DP","ENSG00000226043",0.0267881060809001
"AC013248.1","AC013248.1",2.04124145231932,"DP","ENSG00000226130",0.0267881060809001
"LINC02549","LINC02549",2.04124145231932,"DP","ENSG00000226497",0.0267881060809001
"LINC00343","LINC00343",2.04124145231932,"DP","ENSG00000226620",0.0535762121618002
"AC092155.1","AC092155.1",2.04124145231932,"DP","ENSG00000226622",0.0267881060809001
"AC002472.1","AC002472.1",2.04124145231932,"DP","ENSG00000226872",0.0267881060809001
"AL023581.2","AL023581.2",2.04124145231932,"DP","ENSG00000227192",0.0535762121618002
"AC244453.1","AC244453.1",2.04124145231932,"DP","ENSG00000227193",0.0267881060809001
"C6orf47-AS1","C6orf47-AS1",2.04124145231932,"DP","ENSG00000227198",0.0267881060809001
"AC016994.1","AC016994.1",2.04124145231932,"DP","ENSG00000227294",0.0267881060809001
"LINC01724","LINC01724",2.04124145231932,"DP","ENSG00000227421",0.0267881060809001
"LINC00310","LINC00310",2.04124145231932,"DP","ENSG00000227456",0.0267881060809001
"LINC01624","LINC01624",2.04124145231932,"DP","ENSG00000227508",0.0267881060809001
"AC005160.1","AC005160.1",2.04124145231932,"DP","ENSG00000227658",0.0267881060809001
"AC016596.1","AC016596.1",2.04124145231932,"DP","ENSG00000227908",0.0267881060809001
"LINC02344","LINC02344",2.04124145231932,"DP","ENSG00000227911",0.0267881060809001
"AL022341.1","AL022341.1",2.04124145231932,"DP","ENSG00000228201",0.0267881060809001
"ITPKB-IT1","ITPKB-IT1",2.04124145231932,"DP","ENSG00000228382",0.0267881060809001
"AC005042.2","AC005042.2",2.04124145231932,"DP","ENSG00000228586",0.0267881060809001
"AC010745.2","AC010745.2",2.04124145231932,"DP","ENSG00000228876",0.0267881060809001
"LINC00377","LINC00377",2.04124145231932,"DP","ENSG00000229246",0.0803643182427002
"AC003986.1","AC003986.1",2.04124145231932,"DP","ENSG00000229533",0.0267881060809001
"LINC02528","LINC02528",2.04124145231932,"DP","ENSG00000229922",0.0267881060809001
"AC012499.1","AC012499.1",2.04124145231932,"DP","ENSG00000229941",0.0267881060809001
"AC092813.2","AC092813.2",2.04124145231932,"DP","ENSG00000230027",0.0267881060809001
"TEX53","TEX53",2.04124145231932,"DP","ENSG00000230054",0.0267881060809001
"AC119428.2","AC119428.2",2.04124145231932,"DP","ENSG00000230138",0.0267881060809001
"AL844175.1","AL844175.1",2.04124145231932,"DP","ENSG00000230668",0.0267881060809001
"AL590093.1","AL590093.1",2.04124145231932,"DP","ENSG00000230728",0.0267881060809001
"AC093833.1","AC093833.1",2.04124145231932,"DP","ENSG00000231054",0.0267881060809001
"AL365204.1","AL365204.1",2.04124145231932,"DP","ENSG00000231460",0.0267881060809001
"AL670729.1","AL670729.1",2.04124145231932,"DP","ENSG00000231563",0.0267881060809001
"AC104462.1","AC104462.1",2.04124145231932,"DP","ENSG00000231612",0.0267881060809001
"AC004895.1","AC004895.1",2.04124145231932,"DP","ENSG00000231704",0.0267881060809001
"LINC00210","LINC00210",2.04124145231932,"DP","ENSG00000231814",0.0267881060809001
"AKAIN1","AKAIN1",2.04124145231932,"DP","ENSG00000231824",0.0267881060809001
"AC092832.2","AC092832.2",2.04124145231932,"DP","ENSG00000231846",0.0267881060809001
"AC067945.3","AC067945.3",2.04124145231932,"DP","ENSG00000231858",0.0267881060809001
"LINC01880","LINC01880",2.04124145231932,"DP","ENSG00000232002",0.0267881060809001
"LINC01063","LINC01063",2.04124145231932,"DP","ENSG00000232065",0.0267881060809001
"NCOA7-AS1","NCOA7-AS1",2.04124145231932,"DP","ENSG00000232131",0.0267881060809001
"MTRNR2L4","MTRNR2L4",2.04124145231932,"DP","ENSG00000232196",0.0267881060809001
"AL031674.1","AL031674.1",2.04124145231932,"DP","ENSG00000232294",0.0267881060809001
"AL589923.1","AL589923.1",2.04124145231932,"DP","ENSG00000232413",0.0267881060809001
"AC253536.3","AC253536.3",2.04124145231932,"DP","ENSG00000232545",0.0267881060809001
"AC017006.2","AC017006.2",2.04124145231932,"DP","ENSG00000232696",0.0267881060809001
"TNF","TNF",2.04124145231932,"DP","ENSG00000232810",0.0267881060809001
"AF212831.1","AF212831.1",2.04124145231932,"DP","ENSG00000232886",0.0535762121618002
"AL450344.3","AL450344.3",2.04124145231932,"DP","ENSG00000232891",0.0267881060809001
"AC083864.2","AC083864.2",2.04124145231932,"DP","ENSG00000232930",0.0267881060809001
"AL139081.1","AL139081.1",2.04124145231932,"DP","ENSG00000232986",0.0267881060809001
"GACAT1","GACAT1",2.04124145231932,"DP","ENSG00000232991",0.0267881060809001
"AC243772.2","AC243772.2",2.04124145231932,"DP","ENSG00000233030",0.0267881060809001
"AC095030.1","AC095030.1",2.04124145231932,"DP","ENSG00000233099",0.0267881060809001
"AL023584.1","AL023584.1",2.04124145231932,"DP","ENSG00000233138",0.0267881060809001
"AL138889.1","AL138889.1",2.04124145231932,"DP","ENSG00000233183",0.0267881060809001
"AL133343.2","AL133343.2",2.04124145231932,"DP","ENSG00000233293",0.0267881060809001
"AC004872.1","AC004872.1",2.04124145231932,"DP","ENSG00000233417",0.0267881060809001
"LINC00430","LINC00430",2.04124145231932,"DP","ENSG00000233528",0.0267881060809001
"AC069155.1","AC069155.1",2.04124145231932,"DP","ENSG00000233581",0.0267881060809001
"AL138789.1","AL138789.1",2.04124145231932,"DP","ENSG00000233589",0.0267881060809001
"AL109945.1","AL109945.1",2.04124145231932,"DP","ENSG00000233775",0.0267881060809001
"LINC01251","LINC01251",2.04124145231932,"DP","ENSG00000233776",0.0267881060809001
"AC009970.1","AC009970.1",2.04124145231932,"DP","ENSG00000233953",0.0267881060809001
"LINC01425","LINC01425",2.04124145231932,"DP","ENSG00000233997",0.0267881060809001
"LINC01937","LINC01937",2.04124145231932,"DP","ENSG00000234279",0.0267881060809001
"CLDN34","CLDN34",2.04124145231932,"DP","ENSG00000234469",0.1071524243236
"AC147651.3","AC147651.3",2.04124145231932,"DP","ENSG00000234471",0.0267881060809001
"AL683807.2","AL683807.2",2.04124145231932,"DP","ENSG00000234622",0.0267881060809001
"MED14OS","MED14OS",2.04124145231932,"DP","ENSG00000234636",0.0267881060809001
"GPR50-AS1","GPR50-AS1",2.04124145231932,"DP","ENSG00000234696",0.0267881060809001
"TMEM212-AS1","TMEM212-AS1",2.04124145231932,"DP","ENSG00000234717",0.0267881060809001
"AL136309.2","AL136309.2",2.04124145231932,"DP","ENSG00000234817",0.0267881060809001
"LINC01659","LINC01659",2.04124145231932,"DP","ENSG00000234928",0.0535762121618002
"AC097468.2","AC097468.2",2.04124145231932,"DP","ENSG00000235024",0.0267881060809001
"AC009303.2","AC009303.2",2.04124145231932,"DP","ENSG00000235066",0.0267881060809001
"FAM83C-AS1","FAM83C-AS1",2.04124145231932,"DP","ENSG00000235214",0.0267881060809001
"AC099329.1","AC099329.1",2.04124145231932,"DP","ENSG00000235288",0.0267881060809001
"AL157896.1","AL157896.1",2.04124145231932,"DP","ENSG00000235410",0.0267881060809001
"AC007652.1","AC007652.1",2.04124145231932,"DP","ENSG00000235464",0.0267881060809001
"AL136099.1","AL136099.1",2.04124145231932,"DP","ENSG00000235815",0.0803643182427002
"AL158832.1","AL158832.1",2.04124145231932,"DP","ENSG00000235880",0.0267881060809001
"AC091132.2","AC091132.2",2.04124145231932,"DP","ENSG00000236234",0.0535762121618002
"GPC5-IT1","GPC5-IT1",2.04124145231932,"DP","ENSG00000236240",0.0267881060809001
"AL138921.2","AL138921.2",2.04124145231932,"DP","ENSG00000236308",0.0267881060809001
"LINC00479","LINC00479",2.04124145231932,"DP","ENSG00000236384",0.0267881060809001
"AC073336.1","AC073336.1",2.04124145231932,"DP","ENSG00000236408",0.0267881060809001
"AL589986.2","AL589986.2",2.04124145231932,"DP","ENSG00000236427",0.0267881060809001
"AC016822.1","AC016822.1",2.04124145231932,"DP","ENSG00000236744",0.0803643182427002
"BAALC-AS2","BAALC-AS2",2.04124145231932,"DP","ENSG00000236939",0.0267881060809001
"AC128709.3","AC128709.3",2.04124145231932,"DP","ENSG00000237167",0.0267881060809001
"ZNF295-AS1","ZNF295-AS1",2.04124145231932,"DP","ENSG00000237232",0.0267881060809001
"TMEM26-AS1","TMEM26-AS1",2.04124145231932,"DP","ENSG00000237233",0.0267881060809001
"RF00017","RF00017",2.04124145231932,"DP","ENSG00000237261",0.0267881060809001
"LINC01275","LINC01275",2.04124145231932,"DP","ENSG00000237595",0.0803643182427002
"AP002856.4","AP002856.4",2.04124145231932,"DP","ENSG00000237612",0.0535762121618002
"AC016903.2","AC016903.2",2.04124145231932,"DP","ENSG00000237843",0.0535762121618002
