"Barcode"	"Cluster"
"418"	"E11_F11_P1-F10_LIG224_5_1"	"POB"
"419"	"A11_B06_P1-F12_LIG37_5_1"	"POB"
"420"	"F11_F09_P3-G02_LIG121_5_1"	"POB"
"421"	"H03_C12_P1-F12_LIG251_5_1"	"POB"
"422"	"H10_A07_P1-F11_LIG182_5_1"	"POB"
"423"	"A02_B12_P1-F10_LIG212_5_1"	"POB"
"424"	"H02_B02_P1-F09_LIG108_5_1"	"POB"
"425"	"B05_D01_P1-F11_LIG258_5_1"	"POB"
"426"	"H11_F08_P3-G03_LIG77_5_1"	"POB"
"427"	"C03_C02_P1-F10_LIG93_5_1"	"POB"
"428"	"G10_A01_P3-G02_LIG2_5_1"	"POB"
"429"	"C02_B04_P1-F11_LIG363_5_1"	"POB"
"430"	"D10_A10_P1-F10_LIG128_5_1"	"POB"
"431"	"G03_C05_P1-F12_LIG255_5_1"	"POB"
"432"	"A05_D08_P1-F09_LIG252_5_1"	"POB"
"433"	"H11_B01_P1-F12_LIG340_5_1"	"POB"
"434"	"C11_B07_P1-F09_LIG127_5_1"	"POB"
"435"	"A11_F09_P3-G03_LIG255_5_1"	"POB"
